Text,Text-MM,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_MM_Cleaned
 Enjoying a beautiful day at the park!              ,ပန်းခြံထဲမှာ လှပတဲ့နေ့လေးတစ်နေ့ကို ပျော်ရွှင်စွာဖြတ်သန်းနေပါတယ်။,Positive,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12.0,positive
 Traffic was terrible this morning.                 ,ဒီမနက် လမ်းအရမ်းပိတ်တယ်။,Negative,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8.0,neutral
 Just finished an amazing workout! 💪               ,အရမ်းကောင်းတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ! 💪,Positive,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15.0,positive
 Excited about the upcoming weekend getaway!        ,လာမယ့် စနေ၊ တနင်္ဂနွေ အပန်းဖြေခရီးအတွက် စိတ်လှုပ်ရှားနေပါတယ်။,Positive,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18.0,positive
 Trying out a new recipe for dinner tonight.        ,ဒီည ညစာအတွက် ဟင်းချက်နည်းအသစ်တစ်ခု စမ်းသပ်ချက်ပြုတ်နေပါတယ်။,Neutral,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19.0,negative
 Feeling grateful for the little things in life.    ,ဘဝရဲ့ သေးငယ်တဲ့အရာလေးတွေအတွက် ကျေးဇူးတင်မိပါတယ်။,Positive,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9.0,positive
 Rainy days call for cozy blankets and hot cocoa.   ,မိုးရွာတဲ့နေ့တွေက နွေးထွေးတဲ့စောင်တွေနဲ့ ပူပူနွေးနွေး ကိုကိုးသောက်ဖို့ တောင်းဆိုနေသလိုပါပဲ။,Positive,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14.0,negative
 The new movie release is a must-watch!             ,အသစ်ထွက်ရှိတဲ့ ရုပ်ရှင်က ကြည့်ကိုကြည့်သင့်တဲ့ ဇာတ်ကားပါ။,Positive,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19.0,positive
 Political discussions heating up on the timeline.  ,Timeline မှာ နိုင်ငံရေးဆွေးနွေးမှုတွေ ပူလောင်နေပါတယ်။,Negative,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8.0,neutral
 Missing summer vibes and beach days.               ,နွေရာသီရဲ့ ခံစားချက်တွေနဲ့ ကမ်းခြေနေ့ရက်တွေကို လွမ်းနေပါတယ်။,Neutral,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12.0,positive
 Just published a new blog post. Check it out!      ,ဘလော့ဂ်ပို့စ်အသစ်တစ်ခု ခုပဲတင်လိုက်တယ်။ ဝင်ကြည့်လိုက်ပါဦး။,Positive,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15.0,positive
 Feeling a bit under the weather today.             ,ဒီနေ့ နည်းနည်းနေလို့မကောင်းဘူး။,Negative,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10.0,neutral
 Exploring the city's hidden gems.                  ,မြို့ရဲ့ လျှို့ဝှက်နေရာလေးတွေကို စူးစမ်းရှာဖွေနေပါတယ်။,Positive,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14.0,positive
" New year, new fitness goals! 💪                    ",နှစ်သစ်၊ ကျန်းမာရေးပန်းတိုင်အသစ်! 💪,Positive,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18.0,positive
 Technology is changing the way we live.            ,နည်းပညာက ကျွန်တော်တို့ရဲ့ နေထိုင်မှုပုံစံကို ပြောင်းလဲနေပါတယ်။,Neutral,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9.0,negative
 Reflecting on the past and looking ahead.          ,အတိတ်ကို ပြန်လည်သုံးသပ်ပြီး အနာဂတ်ကို မျှော်ကြည့်နေပါတယ်။,Positive,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13.0,positive
 Just adopted a cute furry friend! 🐾              ,ချစ်စရာကောင်းတဲ့ အမွှေးပွသူငယ်ချင်းလေးတစ်ကောင် ခုပဲမွေးစားလိုက်ပြီ! 🐾,Positive,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17.0,positive
 Late-night gaming session with friends.            ,သူငယ်ချင်းတွေနဲ့ ညဉ့်နက် ဂိမ်းကစားပွဲ။,Positive,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0.0,positive
 Attending a virtual conference on AI.              ,AI ဆိုင်ရာ virtual conference တစ်ခု တက်ရောက်နေပါတယ်။,Neutral,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11.0,negative
 Winter blues got me feeling low.                   ,ဆောင်းရာသီရဲ့ စိတ်ဓာတ်ကျမှုတွေက ကျွန်တော့်ကို စိတ်ဓာတ်ကျစေတယ်။,Negative,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15.0,neutral
 Sipping coffee and enjoying a good book.           ,ကော်ဖီသောက်ရင်း စာအုပ်ကောင်းတစ်အုပ် ဖတ်ရှုခံစားနေပါတယ်။,Positive,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8.0,positive
 Exploring the world of virtual reality.            ,Virtual reality လောကကို စူးစမ်းရှာဖွေနေပါတယ်။,Positive,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13.0,positive
 Productive day ticking off my to-do list.          ,လုပ်စရာစာရင်းထဲက အလုပ်တွေကို တစ်ခုပြီးတစ်ခု အမှန်ခြစ်ပြီး အကျိုးရှိတဲ့နေ့တစ်နေ့။,Positive,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16.0,positive
 Just finished a challenging workout routine.       ,စိန်ခေါ်မှုရှိတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ။,Positive,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9.0,positive
 Celebrating a milestone at work! 🎉               ,အလုပ်မှာ အရေးပါတဲ့ မှတ်တိုင်တစ်ခုကို အောင်ပွဲခံနေပါတယ်! 🎉,Positive,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14.0,positive
 Sunday brunch with friends.                        ,သူငယ်ချင်းတွေနဲ့ တနင်္ဂနွေနေ့လည်စာ။,Positive,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12.0,positive
 Learning a new language for personal growth.       ,ကိုယ်ပိုင်တိုးတက်မှုအတွက် ဘာသာစကားအသစ်တစ်ခု လေ့လာနေပါတယ်။,Positive,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16.0,positive
 Quiet evening with a good book.                    ,စာအုပ်ကောင်းတစ်အုပ်နဲ့ တိတ်ဆိတ်ငြိမ်သက်တဲ့ ညနေခင်း။,Positive,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19.0,positive
 Reflecting on the importance of mental health.     ,စိတ်ကျန်းမာရေးရဲ့ အရေးပါပုံကို ပြန်လည်သုံးသပ်နေပါတယ်။,Positive,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11.0,positive
 New painting in progress! 🎨                       ,ပန်းချီကားအသစ်တစ်ခု ရေးဆွဲနေဆဲ! 🎨,Positive,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15.0,positive
 Weekend road trip to explore scenic views.         ,ရှုခင်းလှတဲ့နေရာတွေကို စူးစမ်းဖို့ စနေ၊ တနင်္ဂနွေ ကားနဲ့ခရီးထွက်ခြင်း။,Positive,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17.0,positive
